ID	AccountID	ProjectID	PlanID	LatLon	DepotTypeID	DepotType	Name	DepotCode	AddressDescription	Delay	CrossDockingProxy	IsDeleted	AllowKeepTrailer	UTCOffset	TimeZone	LoadStart	LoadEnd	UnloadStart	UnloadEnd	LunchStart	LunchEnd	Latitude	Longitude
631311	360	3488	34814	ubfpcbk7yj32	1	1	АЛЬФА-М ООО	П0013606_21	,308013, Белгородская обл, , Белгород г, , Михайловское ш, 33, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.58309996	36.64550012
631314	360	3488	34814	ubfp8vtyvewk	1	1	АЛЬФА-М ООО	П0013606_59	,308030, Белгородская обл, , Белгород г, , им Шумилова М.С. ул, 2, , 6, дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.70833333333333	0	0	50.56850002	36.60359999
631318	360	3488	34814	uc31stxjn97h	1	1	БЕТА-М ООО	П0005336_18	,307173, Курская обл, Железногорский р-н, Железногорск г, , Октябрьская ул, 49, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.32600004	35.36390008
631328	360	3488	34814	uc4ujbnbmvzz	1	1	АЛЬФА-М ООО	П0013606_105	,309509, Белгородская обл, , Старый Оскол г, , Северный мкр, 36, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.32820002	37.87940009
631336	360	3488	34814	uc4ujf9n97p3	1	1	АЛЬФА-М ООО	П0013606_107	,309509, Белгородская обл, , Старый Оскол г, , Николаевский пер, 1, Б, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.34299005	37.87130987
631339	360	3488	34814	uc31sth8dsyt	1	1	БЕТА-М ООО	П0005336_10	,307170, Курская обл, Железногорский р-н, г. Железногорск, , переулок Больничный, 1, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.32249993	35.36029989
631343	360	3488	34814	uc31u8r3e22h	1	1	БЕТА-М ООО	П0005336_5	,307171, Курская обл, Железногорский р-н, Железногорск г, , Гагарина ул, 9, а, , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.34050007	35.36409991
631348	360	3488	34814	uc4gvt2k99sh	1	1	АЛЬФА-М ООО	П0013606_118	,309508, Белгородская обл, , Старый Оскол г, , Стадионная ул, 4, Б, 2, дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.31380008	37.85929995
631349	360	3488	34814	uc31sry6fq65	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_1	,307170, Курская обл, Железногорский р-н, Железногорск г, , мкр, 12А, 1, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.33800008	35.35170006
631353	360	3488	34814	ubfpbx0wzyqj	1	1	АЛЬФА-М ООО	П0013606_13	,308007, Белгородская обл, , Белгород г, , Садовая ул, 112, , 1, дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.6207	36.58550011
631362	360	3488	34814	uc31syydyt56	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_45	,307177, Курская обл, , Железногорск г, , Мира ул, 20, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.33250004	35.3742001
631365	360	3488	34814	ubfp9w2qjt3c	1	1	АЛЬФА-М ООО	П0013606_11	,308006, Белгородская обл, , Белгород г, , Волчанская ул, 266, а, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.57250003	36.62899984
631368	360	3488	34814	ubfpbttu28x5	1	1	АЛЬФА-М ООО	П0013606_6	,308014, Белгородская обл, , Белгород г, , Попова ул, 102, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.61199992	36.59240009
631380	360	3488	34814	uc31srxhw32c	1	1	БЕТА-М ООО	П0005336_3	,307170, Курская обл, Железногорский р-н, Железногорск г, , Ленина ул, 48/1, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.33690004	35.35290001
631392	360	3488	34814	uc40400hdt1s	1	1	АЛЬФА-М ООО	П0013606_30	,308018, Белгородская обл, , Белгород г, , Корочанская ул, 493, Б, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.62580005	36.65050009
631396	360	3488	34814	uc31swj00ew4	1	1	БЕТА-М ООО	П0005336_4	,307173, Курская обл, Железногорский р-н, Железногорск г, , Ленина ул, 16, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.32790005	35.36090003
631422	360	3488	34814	uc4guc612x74	1	1	АЛЬФА-М ООО	П0013606_92	,309518, Белгородская обл, , Старый Оскол г, , Свердлова ул, 4, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.29130003	37.82869997
631432	360	3488	34814	ubfpbktbdxx2	1	1	АЛЬФА-М ООО	П0013606_1	,308002, Белгородская обл, , Белгород г, , Б.Хмельницкого пр-кт, 60, а, , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.60590007	36.58149993
631441	360	3488	34814	ubfpbhndhj3q	1	1	АЛЬФА-М ООО	П0013606_22	,308013, Белгородская обл, , Белгород г, , Народный б-р, 132, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.60339992	36.5715999
631447	360	3488	34814	ubfpbmsqn2w9	1	1	АЛЬФА-М ООО	П0013606_12	,308007, Белгородская обл, , Белгород г, , Б.Хмельницкого пр-кт, 84, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.61229999	36.57959992
631479	360	3488	34814	uc4uj13t6cmg	1	1	АЛЬФА-М ООО	П0013606_121	,309506, Белгородская обл, , Старый Оскол г, , Первой Конной Армии ул, 40, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.33589997	37.8390999
631480	360	3488	34814	uc31sxj3ukfb	1	1	АЛЬФА ВЛАДИМИР ООО	П0005549_51	,307170, Курская обл, , Железногорск г, , Курская ул, 13/1, , 1, дом, корпус, оф.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.3337	35.36139993
631489	360	3488	34814	ubfpbe8rwtgv	1	1	АЛЬФА-М ООО	П0013606_4	,308009, Белгородская обл, , Белгород г, , Народный б-р, 92, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.60159999	36.58510013
631491	360	3488	34814	ubfpf0qskrbm	1	1	АЛЬФА-М ООО	П0013606_20	,308000, Белгородская обл, , Белгород г, , Макаренко ул, 1, Б, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.58320004	36.65949991
631494	360	3488	34814	uc31stqb7pr1	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_16	,307170, Курская обл, Железногорский р-н, Железногорск г, , Ленина ул, 60 пом 3.4.54, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.32384305	35.36341192
