[54.9814;48.294]	line 534702 1
[54.9779;48.2931]	line 534693 2
[54.9756;48.3011]	line 534698 3
[54.9631;48.2877]	line 534700 4
[54.9639;48.2838]	line 534706 5
[54.9655;48.2774]	line 534704 6
[54.9688;48.2673]	line 534705 7
[54.9536;48.2346]	line 534703 8
[54.9395;48.1931]	line 534683 9
[54.9386;48.2018]	line 534684 10
[54.9404;48.284]	line 534707 11
[54.9448;48.3406]	line 534686 12
[54.9809;48.3002]	line 534699 13
[54.9686;48.2862]	line 534695 14
[54.8829;48.26]	line 534688 15
[54.8813;48.2647]	line 534687 16
[54.8813;48.2676]	line 534689 17
[54.813;48.2994]	line 534713 18
[54.8121;48.2999]	line 534712 19
[54.8002;48.2705]	line 534714 20
[54.7767;48.3242]	line 534715 21
[54.9874;48.3114]	line 534697 22
[54.9854;48.3073]	line 534701 23
[54.9826;48.3052]	line 534696 24
[54.9853;48.297]	line 534694 25
[55.0581;48.0827]	line 534692 26
[55.0316;48.0548]	line 534690 27
[54.9377;48.0016]	line 534708 28
[54.9242;47.8789]	line 534709 29
[54.9146;47.8592]	line 534711 30
[54.948;47.8307]	line 534710 31
[56.1869;50.8912]	line 534630 32
[56.1866;50.894]	line 534637 33
[56.3295;50.8026]	line 534639 34
[56.356;50.5172]	line 534648 35
[56.5265;50.2984]	line 534657 36
[56.5274;50.2976]	line 534656 37
[56.5307;50.2872]	line 534655 38
[56.2007;50.8329]	line 534641 39
[56.196;50.8524]	line 534642 40
[56.1757;50.9057]	line 534631 41
[56.1691;50.899]	line 534638 42
[56.1689;50.899]	line 534629 43
[56.1142;50.799]	line 534640 44
[56.1866;50.894]	line 534634 45
[56.1866;50.894]	line 534635 46
[56.1866;50.894]	line 534632 47
[56.1424;50.9276]	line 534650 48
[56.0972;50.8874]	line 534653 49
[56.0811;50.8767]	line 534652 50
[56.0927;50.9265]	line 534651 51
[56.0109;50.9878]	line 534654 52
[55.406;48.1866]	line 534667 53
[54.8175;47.7024]	line 534716 54
[54.7366;47.5635]	line 534717 55
[54.7262;47.5667]	line 534718 56
[54.7209;47.5626]	line 534719 57
[54.7081;47.5287]	line 534725 58
[54.626;47.509]	line 534722 59
[54.6246;47.5077]	line 534721 60
[54.5972;47.4165]	line 534724 61
[54.6012;47.4134]	line 534723 62
[54.7256;47.3259]	line 534720 63
[55.2023;48.5161]	line 534677 64
[55.2017;48.5154]	line 534676 65
[55.2039;48.5024]	line 534674 66
[55.1588;48.4532]	line 534682 67
[55.0499;48.41]	line 534685 68
[55.0991;48.2702]	line 534691 69
